#	PROG CODE	INSTITUTION NAME	PROGRAMME NAME	CUTOFF - 2023	CUTOFF - 2022	SUBJECT 1	SUBJECT 2	SUBJECT 3	SUBJECT 4
4	1480550	CATHOLIC UNIVERSITY OF EASTERN AFRICA	BACHELOR OF ARTS IN POLITICAL SCIENCE	22.449	22.916				
5	1244550	KARATINA UNIVERSITY	BACHELOR OF ARTS IN POLITICAL SCIENCE AND PUBLIC ADMINISTRATION	22.449	24.33				
6	1087159	KISII UNIVERSITY	BACHELOR OF ARTS (PUBLIC ADMINISTRATION AND POLITICAL SCIENCE)	22.449	27.529				
7	1425550	ZETECH UNIVERSITY	BACHELOR OF ARTS IN POLITICAL SCIENCE WITH TECHNOLOGY	22.449	22.916				
8	1263550	UNIVERSITY OF NAIROBI	BACHELOR OF POLITICAL SCIENCE AND PUBLIC	-	-				
BACHELOR OF ARTS ( POLITICAL SCIENCE, WITH IT)									
1	1229551	MASENO UNIVERSITY	BACHELOR OF ARTS ( POLITICAL SCIENCE, WITH IT)	22.449	22.916				
2	1117551	PWANI UNIVERSITY	BACHELOR OF ARTS ( POLITICAL SCIENCE)	22.449	22.916				
BACHELOR OF APPLIED SCIENCE (GEO-INFORMATICS)									
1	1112553	TECHNICAL UNIVERSITY OF KENYA	BACHELOR OF APPLIED SCIENCE (GEO-INFORMATICS)	25.7	32.166	MAT A(121):C+	PHY(232):C+	GEO(312):C	
BACHELOR OF SCIENCE(BUSINESS INFORMATION SYSTEMS)									
1	1053554	JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY	BACHELOR OF SCIENCE(BUSINESS INFORMATION SYSTEMS)	21.375	21.444	MAT A(121)/MAT B(122):C			
BACHELOR OF SCIENCE CLINICAL MEDICINE									
1	1057560	EGERTON UNIVERSITY	BACHELOR OF SCIENCE CLINICAL MEDICINE	42.215	41.983	BIO(231):C+	CHE(233):C+	MAT A(121)/PHY(232):C+	ENG(101)/KIS(102):C+
2	1061560	KABARAK UNIVERSITY	BACHELOR OF SCIENCE CLINICAL MEDICINE	39.709	38.094	BIO(231):C+	CHE(233):C+	MAT A(121)/PHY(232):C+	ENG(101)/KIS(102):C+
3	1116560	UZIMA UNIVERSITY	BACHELOR OF SCIENCE CLINICAL MEDICINE	34.695	29.017	BIO(231):C+	CHE(233):C+	MAT A(121)/PHY(232):C+	ENG(101)/KIS(102):C+
4	1118560	UNIVERSITY OF KABIANGA	BACHELOR OF SCIENCE CLINICAL MEDICINE	41.014	41.019	BIO(231):C+	CHE(233):C+	MAT A(121)/PHY(232):C+	ENG(101)/KIS(102):C+
5	1249560	JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY	BACHELOR OF SCIENCE CLINICAL MEDICINE	42.847	42.365	BIO(231):C+	CHE(233):C+	MAT A(121)/PHY(232):C+	ENG(101)/KIS(102):C+
6	1079560	KIRINYAGA UNIVERSITY	BACHELOR OF SCIENCE IN CLINICAL MEDICINE AND COMMUNITY HEALTH	39.915	39.828	BIO(231):C+	CHE(233):C+	MAT A(121)/PHY(232):C+	ENG(101)/KIS(102):C+
7	1082560	MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY	BACHELOR OF SCIENCE IN CLINICAL MEDICINE AND COMMUNITY HEALTH	42.231	42.023	BIO(231):C+	CHE(233):C+	MAT A(121)/PHY(232):C+	ENG(101)/KIS(102):C+
8	1087560	KISII UNIVERSITY	BACHELOR OF SCIENCE IN CLINICAL MEDICINE AND COMMUNITY HEALTH	41.573	41.571	BIO(231):C+	CHE(233):C+	MAT A(121)/PHY(232):C+	ENG(101)/KIS(102):C+
9	1240560	MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY	BACHELOR OF SCIENCE IN CLINICAL MEDICINE AND COMMUNITY HEALTH	39.885	40.824	BIO(231):C+	CHE(233):C+	MAT A(121)/PHY(232):C+	ENG(101)/KIS(102):C+
