#	PROG CODE	INSTITUTION NAME	PROGRAMME NAME	CUTOFF - 2023	CUTOFF - 2022	SUBJECT 1	SUBJECT 2	SUBJECT 3	SUBJECT 4
1	5145308	OPEN UNIVERSITY OF KENYA	BACHELOR OF SCIENCE (MATHEMATICS AND COMPUTING)	-	-	MAT A(121):C+	PHY(232):C	ENG(101)/KIS(102):C	
2	1087308	KISII UNIVERSITY	BACHELOR OF SCIENCE (MATHEMATICS WITH COMPUTING)	18.814	18.638	MAT A(121):C+	PHY(232):C	ENG(101)/KIS(102):C	
3	1093308	UNIVERSITY OF EMBU	BACHELOR OF SCIENCE (MATHEMATICS WITH COMPUTING)	18.814	18.638	MAT A(121):C+	PHY(232):C	ENG(101)/KIS(102):C	
BACHELOR OF ARTS (FRENCH)									
1	1117B62	PWANI UNIVERSITY	BACHELOR OF ARTS (FRENCH)	22.959	23.264	FRE(501)/GER(502):C+			
2	1162B62	DAYSTAR UNIVERSITY	BACHELOR OF ARTS (FRENCH)	22.959	-	FRE(501)/GER(502):C+			
3	1253B62	MOI UNIVERSITY	BACHELOR OF ARTS (FRENCH)	22.959	24.782	FRE(501)/GER(502):C+			
BACHELOR OF ARTS (GERMAN)									
1	1117B63	PWANI UNIVERSITY	BACHELOR OF ARTS (GERMAN)	22.959	23.264	FRE(501)/GER(502):C+			
2	1253B63	MOI UNIVERSITY	BACHELOR OF ARTS (GERMAN)	24.348	26.346	FRE(501)/GER(502):C+			
BACHELOR OF SCIENCE (WATER AND ENVIRONMENTAL ENGINEERING)									
1	1057B64	EGERTON UNIVERSITY	BACHELOR OF SCIENCE (WATER AND ENVIRONMENTAL ENGINEERING)	15.683	15.982	MAT A(121):C+	PHY(232):C+	CHE(233):C+	ENG(101)/KIS(102):C+
2	1249B64	JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY	BACHELOR OF SCIENCE (WATER AND ENVIRONMENTAL ENGINEERING)	15.683	15.982	MAT A(121):C+	PHY(232):C+	CHE(233):C+	ENG(101)/KIS(102):C+
BACHELOR OF SCIENCE IN SOIL ENVIRONMENT & LAND USE MANAGEMENT)									
