program_normalized_name	course_suffix	offerings_count
BACHELOR OF EDUCATION (SCIENCE) WITH GUIDANCE AND COUNSELING	333	1
BACHELOR OF EDUCATION (SCIENCE) WITH SPECIAL NEEDS EDUCATION	332	1
BACHELOR OF EDUCATION (SCIENCE, WITH IT)	137	39
BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION - SECONDARY OPTION)	656	2
BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION, WITH IT)	155	12
BACHELOR OF EDUCATION (TECHNOLOGY EDUCATION)	331	3
BACHELOR OF EDUCATION ARTS (HOME ECONOMICS)	310	1
BACHELOR OF EDUCATION IN TECHNOLOGY (CIVIL ENGINEERING)	320	3
BACHELOR OF EDUCATION IN TECHNOLOGY (ELECTRICAL & ELECTRONIC ENGINEERING)	319	3
BACHELOR OF EDUCATION IN TECHNOLOGY (MECHANICAL ENGINEERING)	318	3
BACHELOR OF EDUCATION SCIENCE	138	2
BACHELOR OF EDUCATION SCIENCE (COMPUTER)	499	1
BACHELOR OF EDUCATION TECHNOLOGY (COMPUTER STUDIES)	442	1
BACHELOR OF ENGINEERING (AERONAUTICAL ENGINEERING)	503	1
BACHELOR OF ENGINEERING (AGRICULTURAL & BIO-SYSTEMS ENGINEERING)	121	6
BACHELOR OF ENGINEERING (CHEMICAL AND PROCESS ENGINEERING)	599	3
BACHELOR OF ENGINEERING (CIVIL & STRUCTURAL ENGINEERING)	616	3
BACHELOR OF ENGINEERING (CIVIL ENGINEERING)	116	11
BACHELOR OF ENGINEERING (ELECTRICAL AND ELECTRONIC ENGINEERING)	617	2
BACHELOR OF ENGINEERING (ELECTRICAL AND TELECOMMUNICATION ENGINEERING)	697	1
BACHELOR OF ENGINEERING (GEOSPATIAL ENGINEERING)	119	2
BACHELOR OF ENGINEERING (MANUFACTURING, INDUSTRIAL AND TEXTILE ENGINEERING)	600	1
BACHELOR OF ENGINEERING (MECHANICAL & PRODUCTION ENGINEERING)	718	2
BACHELOR OF ENGINEERING (MECHANICAL ENGINEERING)	118	9
BACHELOR OF ENGINEERING PHYSICS	529	1
BACHELOR OF ENTREPRENEURSHIP	298	5
BACHELOR OF ENTREPRENUERSHIP & SMALL BUSINESS MANAGEMENT	299	11
