source_index	institution_code	institution_name	field_name	program_code	course_suffix	name	normalized_name	level	campus	region	duration_years	award	mode	subject_requirements_json
22	1162	DAYSTAR UNIVERSITY	Mathematics & Statistics	1162107	107	BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE	BACHELOR OF ACTUARIAL SCIENCE	bachelor		Eastern				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C+""}]}"
23	1164	MULTIMEDIA UNIVERSITY OF KENYA	Mathematics & Statistics	1164107	107	BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE	BACHELOR OF ACTUARIAL SCIENCE	bachelor		Nairobi				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C+""}]}"
24	1173	DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY	Mathematics & Statistics	1173107	107	BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE	BACHELOR OF ACTUARIAL SCIENCE	bachelor		Central				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C+""}]}"
25	1244	KARATINA UNIVERSITY	Mathematics & Statistics	1244107	107	BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE	BACHELOR OF ACTUARIAL SCIENCE	bachelor		Central				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C+""}]}"
26	1246	MURANG'A UNIVERSITY OF TECHNOLOGY	Mathematics & Statistics	1246107	107	BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE	BACHELOR OF ACTUARIAL SCIENCE	bachelor		Central				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C+""}]}"
27	1249	JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY	Mathematics & Statistics	1249107	107	BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE	BACHELOR OF ACTUARIAL SCIENCE	bachelor		Central				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C+""}]}"
28	1279	MOUNT KENYA UNIVERSITY	Mathematics & Statistics	1279107	107	BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE	BACHELOR OF ACTUARIAL SCIENCE	bachelor		Central				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C+""}]}"
29	1425	ZETECH UNIVERSITY	Mathematics & Statistics	1425107	107	BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE	BACHELOR OF ACTUARIAL SCIENCE	bachelor		Central				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C+""}]}"
30	1480	CATHOLIC UNIVERSITY OF EASTERN AFRICA	Mathematics & Statistics	1480107	107	BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE	BACHELOR OF ACTUARIAL SCIENCE	bachelor		Nairobi				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C+""}]}"
1	1229	MASENO UNIVERSITY	Engineering	1229108	108	BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT)	BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT)	bachelor		Nyanza				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C""}, {""subject"": ""PHY"", ""code"": ""232"", ""min_grade"": ""C""}, {""subject"": ""CHE"", ""code"": ""233"", ""min_grade"": ""C+""}]}"
2	1515	TOM MBOYA UNIVERSITY	Engineering	1515108	108	BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT)	BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT)	bachelor		Nyanza				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C""}, {""subject"": ""PHY"", ""code"": ""232"", ""min_grade"": ""C""}, {""subject"": ""CHE"", ""code"": ""233"", ""min_grade"": ""C+""}]}"
3	1082	MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY	Engineering	1082108	108	BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY)	BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT)	bachelor		Western				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C""}, {""subject"": ""PHY"", ""code"": ""232"", ""min_grade"": ""C""}, {""subject"": ""CHE"", ""code"": ""233"", ""min_grade"": ""C+""}]}"
4	1087	KISII UNIVERSITY	Engineering	1087108	108	BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY)	BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT)	bachelor		Nyanza				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C""}, {""subject"": ""PHY"", ""code"": ""232"", ""min_grade"": ""C""}, {""subject"": ""CHE"", ""code"": ""233"", ""min_grade"": ""C+""}]}"
5	1093	UNIVERSITY OF EMBU	Engineering	1093108	108	BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY)	BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT)	bachelor		Eastern				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C""}, {""subject"": ""PHY"", ""code"": ""232"", ""min_grade"": ""C""}, {""subject"": ""CHE"", ""code"": ""233"", ""min_grade"": ""C+""}]}"
6	1117	PWANI UNIVERSITY	Engineering	1117108	108	BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY)	BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT)	bachelor		Coast				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C""}, {""subject"": ""PHY"", ""code"": ""232"", ""min_grade"": ""C""}, {""subject"": ""CHE"", ""code"": ""233"", ""min_grade"": ""C+""}]}"
7	1246	MURANG'A UNIVERSITY OF TECHNOLOGY	Engineering	1246108	108	BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY)	BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT)	bachelor		Central				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C""}, {""subject"": ""PHY"", ""code"": ""232"", ""min_grade"": ""C""}, {""subject"": ""CHE"", ""code"": ""233"", ""min_grade"": ""C+""}]}"
8	1263	UNIVERSITY OF NAIROBI	Engineering	1263108	108	BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY)	BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT)	bachelor		Nairobi				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C""}, {""subject"": ""PHY"", ""code"": ""232"", ""min_grade"": ""C""}, {""subject"": ""CHE"", ""code"": ""233"", ""min_grade"": ""C+""}]}"
9	1279	MOUNT KENYA UNIVERSITY	Engineering	1279108	108	BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY)	BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT)	bachelor		Central				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C""}, {""subject"": ""PHY"", ""code"": ""232"", ""min_grade"": ""C""}, {""subject"": ""CHE"", ""code"": ""233"", ""min_grade"": ""C+""}]}"
10	1091	TAITA TAVETA UNIVERSITY	Engineering	1091108	108	BACHELOR OF SCIENCE IN INDUSTRIAL CHEMISTRY	BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT)	bachelor		Coast				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C""}, {""subject"": ""PHY"", ""code"": ""232"", ""min_grade"": ""C""}, {""subject"": ""CHE"", ""code"": ""233"", ""min_grade"": ""C+""}]}"
11	1105	CHUKA UNIVERSITY	Engineering	1105108	108	BACHELOR OF SCIENCE IN INDUSTRIAL CHEMISTRY	BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT)	bachelor		Eastern				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C""}, {""subject"": ""PHY"", ""code"": ""232"", ""min_grade"": ""C""}, {""subject"": ""CHE"", ""code"": ""233"", ""min_grade"": ""C+""}]}"
12	1164	MULTIMEDIA UNIVERSITY OF KENYA	Engineering	1164108	108	BACHELOR OF SCIENCE IN INDUSTRIAL CHEMISTRY	BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT)	bachelor		Nairobi				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C""}, {""subject"": ""PHY"", ""code"": ""232"", ""min_grade"": ""C""}, {""subject"": ""CHE"", ""code"": ""233"", ""min_grade"": ""C+""}]}"
13	1173	DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY	Engineering	1173108	108	BACHELOR OF SCIENCE IN INDUSTRIAL CHEMISTRY	BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT)	bachelor		Central				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C""}, {""subject"": ""PHY"", ""code"": ""232"", ""min_grade"": ""C""}, {""subject"": ""CHE"", ""code"": ""233"", ""min_grade"": ""C+""}]}"
14	1249	JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY	Engineering	1249108	108	BACHELOR OF SCIENCE IN INDUSTRIAL CHEMISTRY	BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT)	bachelor		Central				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C""}, {""subject"": ""PHY"", ""code"": ""232"", ""min_grade"": ""C""}, {""subject"": ""CHE"", ""code"": ""233"", ""min_grade"": ""C+""}]}"
1	1229	MASENO UNIVERSITY	Science (General)	1229109	109	BACHELOR OF SCIENCE (MATHEMATICAL SCIENCES, WITH IT)	BACHELOR OF SCIENCE (MATHEMATICAL SCIENCES, WITH IT)	bachelor		Nyanza				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C+""}]}"
2	1515	TOM MBOYA UNIVERSITY	Science (General)	1515109	109	BACHELOR OF SCIENCE (MATHEMATICAL SCIENCES, WITH IT)	BACHELOR OF SCIENCE (MATHEMATICAL SCIENCES, WITH IT)	bachelor		Nyanza				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C+""}]}"
3	1073	RONGO UNIVERSITY	Science (General)	1073109	109	BACHELOR OF SCIENCE (MATHEMATICS)	BACHELOR OF SCIENCE (MATHEMATICAL SCIENCES, WITH IT)	bachelor		Nyanza				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C+""}]}"
4	1108	KIBABII UNIVERSITY	Science (General)	1108109	109	BACHELOR OF SCIENCE (MATHEMATICS)	BACHELOR OF SCIENCE (MATHEMATICAL SCIENCES, WITH IT)	bachelor		Western				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C+""}]}"
5	1112	TECHNICAL UNIVERSITY OF KENYA	Science (General)	1112109	109	BACHELOR OF SCIENCE (MATHEMATICS)	BACHELOR OF SCIENCE (MATHEMATICAL SCIENCES, WITH IT)	bachelor		Nairobi				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C+""}]}"
6	1117	PWANI UNIVERSITY	Science (General)	1117109	109	BACHELOR OF SCIENCE (MATHEMATICS)	BACHELOR OF SCIENCE (MATHEMATICAL SCIENCES, WITH IT)	bachelor		Coast				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C+""}]}"
7	1165	MAASAI MARA UNIVERSITY	Science (General)	1165109	109	BACHELOR OF SCIENCE (MATHEMATICS)	BACHELOR OF SCIENCE (MATHEMATICAL SCIENCES, WITH IT)	bachelor		Rift Valley				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C+""}]}"
8	1166	SOUTH EASTERN KENYA UNIVERSITY	Science (General)	1166109	109	BACHELOR OF SCIENCE (MATHEMATICS)	BACHELOR OF SCIENCE (MATHEMATICAL SCIENCES, WITH IT)	bachelor		Eastern				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C+""}]}"
