field_slug,field_name,occupation_code,occupation_title,score,keywords,sample_programs
engineering,Engineering,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",7.000,engineering electrical civil mechanical industrial chemistry electronics biomedical electronic agricultural bio-systems chemical process structural financial mechatronic geospatial production mining mineral processing petroleum water environmental aerospace,"BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT) | BACHELOR OF ENGINEERING (CIVIL ENGINEERING) | BACHELOR OF SCIENCE (ELECTRICAL & ELECTRONICS ENGINEERING) | BACHELOR OF ENGINEERING (MECHANICAL ENGINEERING) | BACHELOR OF ENGINEERING (AGRICULTURAL & BIO-SYSTEMS ENGINEERING) | BACHELOR OF SCIENCE (BIOMEDICAL SCIENCE AND TECHNOLOGY) | BACHELOR OF TECHNOLOGY (MECHANICAL ENGINEERING TECHNOLOGY) | BACHELOR OF TECHNOLOGY (ELECTRICAL AND ELECTRONIC ENGINEERING TECHNOLOGY) | BACHELOR OF EDUCATION IN TECHNOLOGY (CIVIL ENGINEERING) | BACHELOR OF EDUCATION IN TECHNOLOGY (ELECTRICAL & ELECTRONIC ENGINEERING)"
engineering,Engineering,51-9151.00,Photographic Process Workers and Processing Machine Operators,7.000,engineering electrical civil mechanical industrial chemistry electronics biomedical electronic agricultural bio-systems chemical process structural financial mechatronic geospatial production mining mineral processing petroleum water environmental aerospace,"BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT) | BACHELOR OF ENGINEERING (CIVIL ENGINEERING) | BACHELOR OF SCIENCE (ELECTRICAL & ELECTRONICS ENGINEERING) | BACHELOR OF ENGINEERING (MECHANICAL ENGINEERING) | BACHELOR OF ENGINEERING (AGRICULTURAL & BIO-SYSTEMS ENGINEERING) | BACHELOR OF SCIENCE (BIOMEDICAL SCIENCE AND TECHNOLOGY) | BACHELOR OF TECHNOLOGY (MECHANICAL ENGINEERING TECHNOLOGY) | BACHELOR OF TECHNOLOGY (ELECTRICAL AND ELECTRONIC ENGINEERING TECHNOLOGY) | BACHELOR OF EDUCATION IN TECHNOLOGY (CIVIL ENGINEERING) | BACHELOR OF EDUCATION IN TECHNOLOGY (ELECTRICAL & ELECTRONIC ENGINEERING)"
engineering,Engineering,11-3051.00,Industrial Production Managers,6.000,engineering electrical civil mechanical industrial chemistry electronics biomedical electronic agricultural bio-systems chemical process structural financial mechatronic geospatial production mining mineral processing petroleum water environmental aerospace,"BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT) | BACHELOR OF ENGINEERING (CIVIL ENGINEERING) | BACHELOR OF SCIENCE (ELECTRICAL & ELECTRONICS ENGINEERING) | BACHELOR OF ENGINEERING (MECHANICAL ENGINEERING) | BACHELOR OF ENGINEERING (AGRICULTURAL & BIO-SYSTEMS ENGINEERING) | BACHELOR OF SCIENCE (BIOMEDICAL SCIENCE AND TECHNOLOGY) | BACHELOR OF TECHNOLOGY (MECHANICAL ENGINEERING TECHNOLOGY) | BACHELOR OF TECHNOLOGY (ELECTRICAL AND ELECTRONIC ENGINEERING TECHNOLOGY) | BACHELOR OF EDUCATION IN TECHNOLOGY (CIVIL ENGINEERING) | BACHELOR OF EDUCATION IN TECHNOLOGY (ELECTRICAL & ELECTRONIC ENGINEERING)"
engineering,Engineering,17-2041.00,Chemical Engineers,6.000,engineering electrical civil mechanical industrial chemistry electronics biomedical electronic agricultural bio-systems chemical process structural financial mechatronic geospatial production mining mineral processing petroleum water environmental aerospace,"BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT) | BACHELOR OF ENGINEERING (CIVIL ENGINEERING) | BACHELOR OF SCIENCE (ELECTRICAL & ELECTRONICS ENGINEERING) | BACHELOR OF ENGINEERING (MECHANICAL ENGINEERING) | BACHELOR OF ENGINEERING (AGRICULTURAL & BIO-SYSTEMS ENGINEERING) | BACHELOR OF SCIENCE (BIOMEDICAL SCIENCE AND TECHNOLOGY) | BACHELOR OF TECHNOLOGY (MECHANICAL ENGINEERING TECHNOLOGY) | BACHELOR OF TECHNOLOGY (ELECTRICAL AND ELECTRONIC ENGINEERING TECHNOLOGY) | BACHELOR OF EDUCATION IN TECHNOLOGY (CIVIL ENGINEERING) | BACHELOR OF EDUCATION IN TECHNOLOGY (ELECTRICAL & ELECTRONIC ENGINEERING)"
engineering,Engineering,17-2072.00,"Electronics Engineers, Except Computer",6.000,engineering electrical civil mechanical industrial chemistry electronics biomedical electronic agricultural bio-systems chemical process structural financial mechatronic geospatial production mining mineral processing petroleum water environmental aerospace,"BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT) | BACHELOR OF ENGINEERING (CIVIL ENGINEERING) | BACHELOR OF SCIENCE (ELECTRICAL & ELECTRONICS ENGINEERING) | BACHELOR OF ENGINEERING (MECHANICAL ENGINEERING) | BACHELOR OF ENGINEERING (AGRICULTURAL & BIO-SYSTEMS ENGINEERING) | BACHELOR OF SCIENCE (BIOMEDICAL SCIENCE AND TECHNOLOGY) | BACHELOR OF TECHNOLOGY (MECHANICAL ENGINEERING TECHNOLOGY) | BACHELOR OF TECHNOLOGY (ELECTRICAL AND ELECTRONIC ENGINEERING TECHNOLOGY) | BACHELOR OF EDUCATION IN TECHNOLOGY (CIVIL ENGINEERING) | BACHELOR OF EDUCATION IN TECHNOLOGY (ELECTRICAL & ELECTRONIC ENGINEERING)"
engineering,Engineering,17-3011.00,Architectural and Civil Drafters,6.000,engineering electrical civil mechanical industrial chemistry electronics biomedical electronic agricultural bio-systems chemical process structural financial mechatronic geospatial production mining mineral processing petroleum water environmental aerospace,"BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT) | BACHELOR OF ENGINEERING (CIVIL ENGINEERING) | BACHELOR OF SCIENCE (ELECTRICAL & ELECTRONICS ENGINEERING) | BACHELOR OF ENGINEERING (MECHANICAL ENGINEERING) | BACHELOR OF ENGINEERING (AGRICULTURAL & BIO-SYSTEMS ENGINEERING) | BACHELOR OF SCIENCE (BIOMEDICAL SCIENCE AND TECHNOLOGY) | BACHELOR OF TECHNOLOGY (MECHANICAL ENGINEERING TECHNOLOGY) | BACHELOR OF TECHNOLOGY (ELECTRICAL AND ELECTRONIC ENGINEERING TECHNOLOGY) | BACHELOR OF EDUCATION IN TECHNOLOGY (CIVIL ENGINEERING) | BACHELOR OF EDUCATION IN TECHNOLOGY (ELECTRICAL & ELECTRONIC ENGINEERING)"
engineering,Engineering,17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,6.000,engineering electrical civil mechanical industrial chemistry electronics biomedical electronic agricultural bio-systems chemical process structural financial mechatronic geospatial production mining mineral processing petroleum water environmental aerospace,"BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT) | BACHELOR OF ENGINEERING (CIVIL ENGINEERING) | BACHELOR OF SCIENCE (ELECTRICAL & ELECTRONICS ENGINEERING) | BACHELOR OF ENGINEERING (MECHANICAL ENGINEERING) | BACHELOR OF ENGINEERING (AGRICULTURAL & BIO-SYSTEMS ENGINEERING) | BACHELOR OF SCIENCE (BIOMEDICAL SCIENCE AND TECHNOLOGY) | BACHELOR OF TECHNOLOGY (MECHANICAL ENGINEERING TECHNOLOGY) | BACHELOR OF TECHNOLOGY (ELECTRICAL AND ELECTRONIC ENGINEERING TECHNOLOGY) | BACHELOR OF EDUCATION IN TECHNOLOGY (CIVIL ENGINEERING) | BACHELOR OF EDUCATION IN TECHNOLOGY (ELECTRICAL & ELECTRONIC ENGINEERING)"
engineering,Engineering,19-4031.00,Chemical Technicians,6.000,engineering electrical civil mechanical industrial chemistry electronics biomedical electronic agricultural bio-systems chemical process structural financial mechatronic geospatial production mining mineral processing petroleum water environmental aerospace,"BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT) | BACHELOR OF ENGINEERING (CIVIL ENGINEERING) | BACHELOR OF SCIENCE (ELECTRICAL & ELECTRONICS ENGINEERING) | BACHELOR OF ENGINEERING (MECHANICAL ENGINEERING) | BACHELOR OF ENGINEERING (AGRICULTURAL & BIO-SYSTEMS ENGINEERING) | BACHELOR OF SCIENCE (BIOMEDICAL SCIENCE AND TECHNOLOGY) | BACHELOR OF TECHNOLOGY (MECHANICAL ENGINEERING TECHNOLOGY) | BACHELOR OF TECHNOLOGY (ELECTRICAL AND ELECTRONIC ENGINEERING TECHNOLOGY) | BACHELOR OF EDUCATION IN TECHNOLOGY (CIVIL ENGINEERING) | BACHELOR OF EDUCATION IN TECHNOLOGY (ELECTRICAL & ELECTRONIC ENGINEERING)"
engineering,Engineering,49-9041.00,Industrial Machinery Mechanics,6.000,engineering electrical civil mechanical industrial chemistry electronics biomedical electronic agricultural bio-systems chemical process structural financial mechatronic geospatial production mining mineral processing petroleum water environmental aerospace,"BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT) | BACHELOR OF ENGINEERING (CIVIL ENGINEERING) | BACHELOR OF SCIENCE (ELECTRICAL & ELECTRONICS ENGINEERING) | BACHELOR OF ENGINEERING (MECHANICAL ENGINEERING) | BACHELOR OF ENGINEERING (AGRICULTURAL & BIO-SYSTEMS ENGINEERING) | BACHELOR OF SCIENCE (BIOMEDICAL SCIENCE AND TECHNOLOGY) | BACHELOR OF TECHNOLOGY (MECHANICAL ENGINEERING TECHNOLOGY) | BACHELOR OF TECHNOLOGY (ELECTRICAL AND ELECTRONIC ENGINEERING TECHNOLOGY) | BACHELOR OF EDUCATION IN TECHNOLOGY (CIVIL ENGINEERING) | BACHELOR OF EDUCATION IN TECHNOLOGY (ELECTRICAL & ELECTRONIC ENGINEERING)"
engineering,Engineering,51-9011.00,Chemical Equipment Operators and Tenders,6.000,engineering electrical civil mechanical industrial chemistry electronics biomedical electronic agricultural bio-systems chemical process structural financial mechatronic geospatial production mining mineral processing petroleum water environmental aerospace,"BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT) | BACHELOR OF ENGINEERING (CIVIL ENGINEERING) | BACHELOR OF SCIENCE (ELECTRICAL & ELECTRONICS ENGINEERING) | BACHELOR OF ENGINEERING (MECHANICAL ENGINEERING) | BACHELOR OF ENGINEERING (AGRICULTURAL & BIO-SYSTEMS ENGINEERING) | BACHELOR OF SCIENCE (BIOMEDICAL SCIENCE AND TECHNOLOGY) | BACHELOR OF TECHNOLOGY (MECHANICAL ENGINEERING TECHNOLOGY) | BACHELOR OF TECHNOLOGY (ELECTRICAL AND ELECTRONIC ENGINEERING TECHNOLOGY) | BACHELOR OF EDUCATION IN TECHNOLOGY (CIVIL ENGINEERING) | BACHELOR OF EDUCATION IN TECHNOLOGY (ELECTRICAL & ELECTRONIC ENGINEERING)"
environmental-sciences,Environmental Sciences,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",9.000,environmental energy sustainable climate change environment sciences renewable physics lands earth conservation chemistry disaster preparedness environmentaltechnology horticulture landscaping utilization sustainability arid usal infrastructure built urban,BACHELOR OF ENVIRONMENTAL SCIENCE | BACHELOR OF SCIENCE (ENVIRONMENTAL HEALTH) | BACHELOR OF SCIENCE ( SUSTAINABLE ENERGY & CLIMATE CHANGE SYSTEMS) | BACHELOR OF ENVIRONMENTAL STUDIES (COMMUNITY DEVELOPMENT) | BACHELOR OF ENVIRONMENTAL STUDIES | BACHELOR OF ENVIRONMENTAL STUDIES (EARTH SCIENCES) | BACHELOR OF ENVIRONMENTAL STUDIES (ENVIRONMENTAL RESOURCE CONSERVATION) | BACHELOR OF SCIENCE ( ENVIRONMENTAL CHEMISTRY) | BACHELOR OF SCIENCE (COMMUNITY DEVELOPMENT AND ENVIRONMENT) | BACHELOR OF SCIENCE (DISASTER PREPAREDNESS AND ENVIRONMENTALTECHNOLOGY)
environmental-sciences,Environmental Sciences,19-2041.01,Climate Change Policy Analysts,8.000,environmental energy sustainable climate change environment sciences renewable physics lands earth conservation chemistry disaster preparedness environmentaltechnology horticulture landscaping utilization sustainability arid usal infrastructure built urban,BACHELOR OF ENVIRONMENTAL SCIENCE | BACHELOR OF SCIENCE (ENVIRONMENTAL HEALTH) | BACHELOR OF SCIENCE ( SUSTAINABLE ENERGY & CLIMATE CHANGE SYSTEMS) | BACHELOR OF ENVIRONMENTAL STUDIES (COMMUNITY DEVELOPMENT) | BACHELOR OF ENVIRONMENTAL STUDIES | BACHELOR OF ENVIRONMENTAL STUDIES (EARTH SCIENCES) | BACHELOR OF ENVIRONMENTAL STUDIES (ENVIRONMENTAL RESOURCE CONSERVATION) | BACHELOR OF SCIENCE ( ENVIRONMENTAL CHEMISTRY) | BACHELOR OF SCIENCE (COMMUNITY DEVELOPMENT AND ENVIRONMENT) | BACHELOR OF SCIENCE (DISASTER PREPAREDNESS AND ENVIRONMENTALTECHNOLOGY)
environmental-sciences,Environmental Sciences,19-3011.01,Environmental Economists,7.000,environmental energy sustainable climate change environment sciences renewable physics lands earth conservation chemistry disaster preparedness environmentaltechnology horticulture landscaping utilization sustainability arid usal infrastructure built urban,BACHELOR OF ENVIRONMENTAL SCIENCE | BACHELOR OF SCIENCE (ENVIRONMENTAL HEALTH) | BACHELOR OF SCIENCE ( SUSTAINABLE ENERGY & CLIMATE CHANGE SYSTEMS) | BACHELOR OF ENVIRONMENTAL STUDIES (COMMUNITY DEVELOPMENT) | BACHELOR OF ENVIRONMENTAL STUDIES | BACHELOR OF ENVIRONMENTAL STUDIES (EARTH SCIENCES) | BACHELOR OF ENVIRONMENTAL STUDIES (ENVIRONMENTAL RESOURCE CONSERVATION) | BACHELOR OF SCIENCE ( ENVIRONMENTAL CHEMISTRY) | BACHELOR OF SCIENCE (COMMUNITY DEVELOPMENT AND ENVIRONMENT) | BACHELOR OF SCIENCE (DISASTER PREPAREDNESS AND ENVIRONMENTALTECHNOLOGY)
health-sciences,Health Sciences,19-5012.00,Occupational Health and Safety Technicians,12.000,health nursing nutrition dietetics laboratory medical clinical food human occupational safety radiography animal sciences midwifery reproductive cosmetology beauty,"BACHELOR OF SCIENCE (NURSING, WITH IT) | BACHELOR OF SCIENCE (MEDICAL LABORATORY SCIENCE & TECHNOLOGY) | BACHELOR OF SCIENCE CLINICAL MEDICINE | BACHELOR OF SCIENCE (FOOD NUTRITION & DIETETICS) | BACHELOR OF SCIENCE (HUMAN NUTRITION AND DIETETICS) | BACHELOR OF SCIENCE IN NUTRITION AND DIETETICS | BACHELOR OF SCIENCE (OCCUPATIONAL HEALTH & SAFETY) | BACHELOR OF RADIOGRAPHY | BACHELOR OF SCIENCE IN APPLIED ANIMAL LABORATORY SCIENCE | BACHELOR OF SCIENCE IN LABORATORY SCIENCES"
health-sciences,Health Sciences,19-5011.00,Occupational Health and Safety Specialists,11.000,health nursing nutrition dietetics laboratory medical clinical food human occupational safety radiography animal sciences midwifery reproductive cosmetology beauty,"BACHELOR OF SCIENCE (NURSING, WITH IT) | BACHELOR OF SCIENCE (MEDICAL LABORATORY SCIENCE & TECHNOLOGY) | BACHELOR OF SCIENCE CLINICAL MEDICINE | BACHELOR OF SCIENCE (FOOD NUTRITION & DIETETICS) | BACHELOR OF SCIENCE (HUMAN NUTRITION AND DIETETICS) | BACHELOR OF SCIENCE IN NUTRITION AND DIETETICS | BACHELOR OF SCIENCE (OCCUPATIONAL HEALTH & SAFETY) | BACHELOR OF RADIOGRAPHY | BACHELOR OF SCIENCE IN APPLIED ANIMAL LABORATORY SCIENCE | BACHELOR OF SCIENCE IN LABORATORY SCIENCES"
health-sciences,Health Sciences,29-2011.00,Medical and Clinical Laboratory Technologists,11.000,health nursing nutrition dietetics laboratory medical clinical food human occupational safety radiography animal sciences midwifery reproductive cosmetology beauty,"BACHELOR OF SCIENCE (NURSING, WITH IT) | BACHELOR OF SCIENCE (MEDICAL LABORATORY SCIENCE & TECHNOLOGY) | BACHELOR OF SCIENCE CLINICAL MEDICINE | BACHELOR OF SCIENCE (FOOD NUTRITION & DIETETICS) | BACHELOR OF SCIENCE (HUMAN NUTRITION AND DIETETICS) | BACHELOR OF SCIENCE IN NUTRITION AND DIETETICS | BACHELOR OF SCIENCE (OCCUPATIONAL HEALTH & SAFETY) | BACHELOR OF RADIOGRAPHY | BACHELOR OF SCIENCE IN APPLIED ANIMAL LABORATORY SCIENCE | BACHELOR OF SCIENCE IN LABORATORY SCIENCES"
health-sciences,Health Sciences,29-2012.00,Medical and Clinical Laboratory Technicians,11.000,health nursing nutrition dietetics laboratory medical clinical food human occupational safety radiography animal sciences midwifery reproductive cosmetology beauty,"BACHELOR OF SCIENCE (NURSING, WITH IT) | BACHELOR OF SCIENCE (MEDICAL LABORATORY SCIENCE & TECHNOLOGY) | BACHELOR OF SCIENCE CLINICAL MEDICINE | BACHELOR OF SCIENCE (FOOD NUTRITION & DIETETICS) | BACHELOR OF SCIENCE (HUMAN NUTRITION AND DIETETICS) | BACHELOR OF SCIENCE IN NUTRITION AND DIETETICS | BACHELOR OF SCIENCE (OCCUPATIONAL HEALTH & SAFETY) | BACHELOR OF RADIOGRAPHY | BACHELOR OF SCIENCE IN APPLIED ANIMAL LABORATORY SCIENCE | BACHELOR OF SCIENCE IN LABORATORY SCIENCES"
health-sciences,Health Sciences,11-9111.00,Medical and Health Services Managers,8.000,health nursing nutrition dietetics laboratory medical clinical food human occupational safety radiography animal sciences midwifery reproductive cosmetology beauty,"BACHELOR OF SCIENCE (NURSING, WITH IT) | BACHELOR OF SCIENCE (MEDICAL LABORATORY SCIENCE & TECHNOLOGY) | BACHELOR OF SCIENCE CLINICAL MEDICINE | BACHELOR OF SCIENCE (FOOD NUTRITION & DIETETICS) | BACHELOR OF SCIENCE (HUMAN NUTRITION AND DIETETICS) | BACHELOR OF SCIENCE IN NUTRITION AND DIETETICS | BACHELOR OF SCIENCE (OCCUPATIONAL HEALTH & SAFETY) | BACHELOR OF RADIOGRAPHY | BACHELOR OF SCIENCE IN APPLIED ANIMAL LABORATORY SCIENCE | BACHELOR OF SCIENCE IN LABORATORY SCIENCES"
health-sciences,Health Sciences,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",8.000,health nursing nutrition dietetics laboratory medical clinical food human occupational safety radiography animal sciences midwifery reproductive cosmetology beauty,"BACHELOR OF SCIENCE (NURSING, WITH IT) | BACHELOR OF SCIENCE (MEDICAL LABORATORY SCIENCE & TECHNOLOGY) | BACHELOR OF SCIENCE CLINICAL MEDICINE | BACHELOR OF SCIENCE (FOOD NUTRITION & DIETETICS) | BACHELOR OF SCIENCE (HUMAN NUTRITION AND DIETETICS) | BACHELOR OF SCIENCE IN NUTRITION AND DIETETICS | BACHELOR OF SCIENCE (OCCUPATIONAL HEALTH & SAFETY) | BACHELOR OF RADIOGRAPHY | BACHELOR OF SCIENCE IN APPLIED ANIMAL LABORATORY SCIENCE | BACHELOR OF SCIENCE IN LABORATORY SCIENCES"
health-sciences,Health Sciences,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,8.000,health nursing nutrition dietetics laboratory medical clinical food human occupational safety radiography animal sciences midwifery reproductive cosmetology beauty,"BACHELOR OF SCIENCE (NURSING, WITH IT) | BACHELOR OF SCIENCE (MEDICAL LABORATORY SCIENCE & TECHNOLOGY) | BACHELOR OF SCIENCE CLINICAL MEDICINE | BACHELOR OF SCIENCE (FOOD NUTRITION & DIETETICS) | BACHELOR OF SCIENCE (HUMAN NUTRITION AND DIETETICS) | BACHELOR OF SCIENCE IN NUTRITION AND DIETETICS | BACHELOR OF SCIENCE (OCCUPATIONAL HEALTH & SAFETY) | BACHELOR OF RADIOGRAPHY | BACHELOR OF SCIENCE IN APPLIED ANIMAL LABORATORY SCIENCE | BACHELOR OF SCIENCE IN LABORATORY SCIENCES"
health-sciences,Health Sciences,29-9021.00,Health Information Technologists and Medical Registrars,7.000,health nursing nutrition dietetics laboratory medical clinical food human occupational safety radiography animal sciences midwifery reproductive cosmetology beauty,"BACHELOR OF SCIENCE (NURSING, WITH IT) | BACHELOR OF SCIENCE (MEDICAL LABORATORY SCIENCE & TECHNOLOGY) | BACHELOR OF SCIENCE CLINICAL MEDICINE | BACHELOR OF SCIENCE (FOOD NUTRITION & DIETETICS) | BACHELOR OF SCIENCE (HUMAN NUTRITION AND DIETETICS) | BACHELOR OF SCIENCE IN NUTRITION AND DIETETICS | BACHELOR OF SCIENCE (OCCUPATIONAL HEALTH & SAFETY) | BACHELOR OF RADIOGRAPHY | BACHELOR OF SCIENCE IN APPLIED ANIMAL LABORATORY SCIENCE | BACHELOR OF SCIENCE IN LABORATORY SCIENCES"
health-sciences,Health Sciences,19-1042.00,"Medical Scientists, Except Epidemiologists",6.000,health nursing nutrition dietetics laboratory medical clinical food human occupational safety radiography animal sciences midwifery reproductive cosmetology beauty,"BACHELOR OF SCIENCE (NURSING, WITH IT) | BACHELOR OF SCIENCE (MEDICAL LABORATORY SCIENCE & TECHNOLOGY) | BACHELOR OF SCIENCE CLINICAL MEDICINE | BACHELOR OF SCIENCE (FOOD NUTRITION & DIETETICS) | BACHELOR OF SCIENCE (HUMAN NUTRITION AND DIETETICS) | BACHELOR OF SCIENCE IN NUTRITION AND DIETETICS | BACHELOR OF SCIENCE (OCCUPATIONAL HEALTH & SAFETY) | BACHELOR OF RADIOGRAPHY | BACHELOR OF SCIENCE IN APPLIED ANIMAL LABORATORY SCIENCE | BACHELOR OF SCIENCE IN LABORATORY SCIENCES"
information-science,Information Science,15-1221.00,Computer and Information Research Scientists,9.000,science information library geospatial records informatics geomatics geo-informatics commerce computer computing knowledge geoinformation,BACHELOR OF INFORMATION TECHNOLOGY | BACHELOR OF BUSINESS INFORMATION TECHNOLOGY | BACHELOR OF SCIENCE (INFORMATION SCIENCE) | BACHELOR OF LIBRARY & INFORMATION SCIENCE | BACHELOR OF BUSINESS AND INFORMATION TECHNOLOGY | BACHELOR OF SCIENCE IN HEALTH RECORDS AND INFORMATION TECHNOLOGY | BACHELOR OF INFORMATION SCIENCE | BACHELOR OF SCIENCE (GEOSPATIAL INFORMATION SCIENCE) | BACHELOR OF SCIENCE (INFORMATICS) | BACHELOR OF SCIENCE IN GEOMATICS AND GEOSPATIAL INFORMATION SYSTEMS
information-science,Information Science,11-3021.00,Computer and Information Systems Managers,8.000,science information library geospatial records informatics geomatics geo-informatics commerce computer computing knowledge geoinformation,BACHELOR OF INFORMATION TECHNOLOGY | BACHELOR OF BUSINESS INFORMATION TECHNOLOGY | BACHELOR OF SCIENCE (INFORMATION SCIENCE) | BACHELOR OF LIBRARY & INFORMATION SCIENCE | BACHELOR OF BUSINESS AND INFORMATION TECHNOLOGY | BACHELOR OF SCIENCE IN HEALTH RECORDS AND INFORMATION TECHNOLOGY | BACHELOR OF INFORMATION SCIENCE | BACHELOR OF SCIENCE (GEOSPATIAL INFORMATION SCIENCE) | BACHELOR OF SCIENCE (INFORMATICS) | BACHELOR OF SCIENCE IN GEOMATICS AND GEOSPATIAL INFORMATION SYSTEMS
information-science,Information Science,25-1021.00,"Computer Science Teachers, Postsecondary",8.000,science information library geospatial records informatics geomatics geo-informatics commerce computer computing knowledge geoinformation,BACHELOR OF INFORMATION TECHNOLOGY | BACHELOR OF BUSINESS INFORMATION TECHNOLOGY | BACHELOR OF SCIENCE (INFORMATION SCIENCE) | BACHELOR OF LIBRARY & INFORMATION SCIENCE | BACHELOR OF BUSINESS AND INFORMATION TECHNOLOGY | BACHELOR OF SCIENCE IN HEALTH RECORDS AND INFORMATION TECHNOLOGY | BACHELOR OF INFORMATION SCIENCE | BACHELOR OF SCIENCE (GEOSPATIAL INFORMATION SCIENCE) | BACHELOR OF SCIENCE (INFORMATICS) | BACHELOR OF SCIENCE IN GEOMATICS AND GEOSPATIAL INFORMATION SYSTEMS
information-science,Information Science,25-1082.00,"Library Science Teachers, Postsecondary",8.000,science information library geospatial records informatics geomatics geo-informatics commerce computer computing knowledge geoinformation,BACHELOR OF INFORMATION TECHNOLOGY | BACHELOR OF BUSINESS INFORMATION TECHNOLOGY | BACHELOR OF SCIENCE (INFORMATION SCIENCE) | BACHELOR OF LIBRARY & INFORMATION SCIENCE | BACHELOR OF BUSINESS AND INFORMATION TECHNOLOGY | BACHELOR OF SCIENCE IN HEALTH RECORDS AND INFORMATION TECHNOLOGY | BACHELOR OF INFORMATION SCIENCE | BACHELOR OF SCIENCE (GEOSPATIAL INFORMATION SCIENCE) | BACHELOR OF SCIENCE (INFORMATICS) | BACHELOR OF SCIENCE IN GEOMATICS AND GEOSPATIAL INFORMATION SYSTEMS
life-sciences,Life Sciences,19-1029.02,Molecular and Cellular Biologists,7.000,sciences life biology biochemistry microbiology biotechnology molecular medical forensic conservation cellular industrial,BACHELOR OF SCIENCE (BIOCHEMISTRY | BACHELOR OF SCIENCE (BIOLOGY) | BACHELOR OF SCIENCE (MICROBIOLOGY) | BACHELOR OF SCIENCE (MICROBIOLOGY AND BIOTECHNOLOGY) | BACHELOR OF SCIENCE (APPLIED BIOLOGY) | BACHELOR OF SCIENCE (BIOCHEMISTRY AND MOLECULAR BIOLOGY) | BACHELOR OF SCIENCE (MEDICAL MICROBIOLOGY) | BACHELOR OF SCIENCE (CONSERVATION BIOLOGY) | BACHELOR OF SCIENCE (FORENSIC BIOLOGY) | BACHELOR OF SCIENCE (MEDICAL BIOCHEMISTRY)
physical-sciences,Physical Sciences,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",7.000,sciences physics chemistry astronomy astrophysics inorganic physical organic options technical geophysics mineralogy,"BACHELOR OF SCIENCE (CHEMISTRY) | BACHELOR OF SCIENCE (PHYSICS) | BACHELOR OF SCIENCE (ASTRONOMY AND ASTROPHYSICS) | BACHELOR OF SCIENCE CHEMISTRY ( INORGANIC, PHYSICAL AND ORGANIC OPTIONS) | BACHELOR OF SCIENCE IN APPLIED PHYSICS | BACHELOR OF TECHNOLOGY (TECHNICAL AND APPLIED PHYSICS) | BACHELOR OF SCIENCE (GEOPHYSICS AND MINERALOGY) | BACHELOR OF SCIENCE (GEOPHYSICS)"
science-general,Science (General),19-4099.00,"Life, Physical, and Social Science Technicians, All Other",8.000,general science sciences mathematical apparel fashion biotechnology animal records mgt fisheries aquaculture production physiotherapy population accountancy processing forensic medical physical therapy zoology renewable energy crop,"BACHELOR OF SCIENCE | BACHELOR OF SCIENCE (COMMUNITY HEALTH & DEVELOPMENT) | BACHELOR OF SCIENCE (PUBLIC HEALTH, WITH IT) | BACHELOR OF SCIENCE (MATHEMATICAL SCIENCES, WITH IT) | BACHELOR OF SCIENCE (APPAREL & FASHION TECHNOLOGY) | BACHELOR OF SCIENCE (BIOTECHNOLOGY) | BACHELOR OF SCIENCE (HEALTH RECORDS & INFORMATION MGT.) | BACHELOR OF SCIENCE IN FISHERIES AND AQUACULTURE | BACHELOR OF SCIENCE (COMMUNITY DEVELOPMENT) | BACHELOR OF SCIENCE (PHYSIOTHERAPY)"
science-general,Science (General),25-1022.00,"Mathematical Science Teachers, Postsecondary",8.000,general science sciences mathematical apparel fashion biotechnology animal records mgt fisheries aquaculture production physiotherapy population accountancy processing forensic medical physical therapy zoology renewable energy crop,"BACHELOR OF SCIENCE | BACHELOR OF SCIENCE (COMMUNITY HEALTH & DEVELOPMENT) | BACHELOR OF SCIENCE (PUBLIC HEALTH, WITH IT) | BACHELOR OF SCIENCE (MATHEMATICAL SCIENCES, WITH IT) | BACHELOR OF SCIENCE (APPAREL & FASHION TECHNOLOGY) | BACHELOR OF SCIENCE (BIOTECHNOLOGY) | BACHELOR OF SCIENCE (HEALTH RECORDS & INFORMATION MGT.) | BACHELOR OF SCIENCE IN FISHERIES AND AQUACULTURE | BACHELOR OF SCIENCE (COMMUNITY DEVELOPMENT) | BACHELOR OF SCIENCE (PHYSIOTHERAPY)"
