field_slug,field_name,occupation_code,occupation_title,score,keywords,sample_programs
computing-it,Computing & IT,15-1241.00,Computer Network Architects,7.000,it computer computing mathematics statistics security forensics software electronic data electrical,BACHELOR OF SCIENCE (COMPUTER SCIENCE | BACHELOR OF SCIENCE ( APPLIED STATISTICS WITH COMPUTING) | BACHELOR OF SCIENCE (MATHEMATICS & COMPUTER SCIENCE) | BACHELOR OF SCIENCE (COMPUTER SECURITY AND FORENSICS) | BACHELOR OF SCIENCE IN SOFTWARE ENGINEERING | BACHELOR OF SCIENCE (APPLIED COMPUTER SCIENCE) | BACHELOR OF SCIENCE (COMPUTER TECHNOLOGY) | BACHELOR OF SCIENCE (ELECTRONIC AND COMPUTER ENGINEERING) | BACHELOR OF SCIENCE (MATHEMATICS AND COMPUTING) | BACHELOR OF TECHNOLOGY (COMPUTER TECHNOLOGY)
computing-it,Computing & IT,11-3021.00,Computer and Information Systems Managers,6.000,it computer computing mathematics statistics security forensics software electronic data electrical,BACHELOR OF SCIENCE (COMPUTER SCIENCE | BACHELOR OF SCIENCE ( APPLIED STATISTICS WITH COMPUTING) | BACHELOR OF SCIENCE (MATHEMATICS & COMPUTER SCIENCE) | BACHELOR OF SCIENCE (COMPUTER SECURITY AND FORENSICS) | BACHELOR OF SCIENCE IN SOFTWARE ENGINEERING | BACHELOR OF SCIENCE (APPLIED COMPUTER SCIENCE) | BACHELOR OF SCIENCE (COMPUTER TECHNOLOGY) | BACHELOR OF SCIENCE (ELECTRONIC AND COMPUTER ENGINEERING) | BACHELOR OF SCIENCE (MATHEMATICS AND COMPUTING) | BACHELOR OF TECHNOLOGY (COMPUTER TECHNOLOGY)
computing-it,Computing & IT,15-1211.00,Computer Systems Analysts,6.000,it computer computing mathematics statistics security forensics software electronic data electrical,BACHELOR OF SCIENCE (COMPUTER SCIENCE | BACHELOR OF SCIENCE ( APPLIED STATISTICS WITH COMPUTING) | BACHELOR OF SCIENCE (MATHEMATICS & COMPUTER SCIENCE) | BACHELOR OF SCIENCE (COMPUTER SECURITY AND FORENSICS) | BACHELOR OF SCIENCE IN SOFTWARE ENGINEERING | BACHELOR OF SCIENCE (APPLIED COMPUTER SCIENCE) | BACHELOR OF SCIENCE (COMPUTER TECHNOLOGY) | BACHELOR OF SCIENCE (ELECTRONIC AND COMPUTER ENGINEERING) | BACHELOR OF SCIENCE (MATHEMATICS AND COMPUTING) | BACHELOR OF TECHNOLOGY (COMPUTER TECHNOLOGY)
computing-it,Computing & IT,15-1212.00,Information Security Analysts,6.000,it computer computing mathematics statistics security forensics software electronic data electrical,BACHELOR OF SCIENCE (COMPUTER SCIENCE | BACHELOR OF SCIENCE ( APPLIED STATISTICS WITH COMPUTING) | BACHELOR OF SCIENCE (MATHEMATICS & COMPUTER SCIENCE) | BACHELOR OF SCIENCE (COMPUTER SECURITY AND FORENSICS) | BACHELOR OF SCIENCE IN SOFTWARE ENGINEERING | BACHELOR OF SCIENCE (APPLIED COMPUTER SCIENCE) | BACHELOR OF SCIENCE (COMPUTER TECHNOLOGY) | BACHELOR OF SCIENCE (ELECTRONIC AND COMPUTER ENGINEERING) | BACHELOR OF SCIENCE (MATHEMATICS AND COMPUTING) | BACHELOR OF TECHNOLOGY (COMPUTER TECHNOLOGY)
computing-it,Computing & IT,15-1232.00,Computer User Support Specialists,6.000,it computer computing mathematics statistics security forensics software electronic data electrical,BACHELOR OF SCIENCE (COMPUTER SCIENCE | BACHELOR OF SCIENCE ( APPLIED STATISTICS WITH COMPUTING) | BACHELOR OF SCIENCE (MATHEMATICS & COMPUTER SCIENCE) | BACHELOR OF SCIENCE (COMPUTER SECURITY AND FORENSICS) | BACHELOR OF SCIENCE IN SOFTWARE ENGINEERING | BACHELOR OF SCIENCE (APPLIED COMPUTER SCIENCE) | BACHELOR OF SCIENCE (COMPUTER TECHNOLOGY) | BACHELOR OF SCIENCE (ELECTRONIC AND COMPUTER ENGINEERING) | BACHELOR OF SCIENCE (MATHEMATICS AND COMPUTING) | BACHELOR OF TECHNOLOGY (COMPUTER TECHNOLOGY)
computing-it,Computing & IT,15-1251.00,Computer Programmers,6.000,it computer computing mathematics statistics security forensics software electronic data electrical,BACHELOR OF SCIENCE (COMPUTER SCIENCE | BACHELOR OF SCIENCE ( APPLIED STATISTICS WITH COMPUTING) | BACHELOR OF SCIENCE (MATHEMATICS & COMPUTER SCIENCE) | BACHELOR OF SCIENCE (COMPUTER SECURITY AND FORENSICS) | BACHELOR OF SCIENCE IN SOFTWARE ENGINEERING | BACHELOR OF SCIENCE (APPLIED COMPUTER SCIENCE) | BACHELOR OF SCIENCE (COMPUTER TECHNOLOGY) | BACHELOR OF SCIENCE (ELECTRONIC AND COMPUTER ENGINEERING) | BACHELOR OF SCIENCE (MATHEMATICS AND COMPUTING) | BACHELOR OF TECHNOLOGY (COMPUTER TECHNOLOGY)
computing-it,Computing & IT,15-1299.05,Information Security Engineers,6.000,it computer computing mathematics statistics security forensics software electronic data electrical,BACHELOR OF SCIENCE (COMPUTER SCIENCE | BACHELOR OF SCIENCE ( APPLIED STATISTICS WITH COMPUTING) | BACHELOR OF SCIENCE (MATHEMATICS & COMPUTER SCIENCE) | BACHELOR OF SCIENCE (COMPUTER SECURITY AND FORENSICS) | BACHELOR OF SCIENCE IN SOFTWARE ENGINEERING | BACHELOR OF SCIENCE (APPLIED COMPUTER SCIENCE) | BACHELOR OF SCIENCE (COMPUTER TECHNOLOGY) | BACHELOR OF SCIENCE (ELECTRONIC AND COMPUTER ENGINEERING) | BACHELOR OF SCIENCE (MATHEMATICS AND COMPUTING) | BACHELOR OF TECHNOLOGY (COMPUTER TECHNOLOGY)
earth-sciences,Earth Sciences,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",7.000,sciences earth geology meteorology,BACHELOR OF SCIENCE (GEOLOGY) | BACHELOR OF SCIENCE (METEOROLOGY)
education,Education,25-2058.00,"Special Education Teachers, Secondary School",11.000,education early childhood special needs primary home physical music french secondary option christian ict library sports guidance counseling,"BACHELOR OF EDUCATION (SCIENCE, WITH IT) | BACHELOR OF EDUCATION (EARLY CHILDHOOD DEVELOPMENT) | BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION, WITH IT) | BACHELOR OF EDUCATION (EARLY CHILDHOOD & PRIMARY EDUCATION) | BACHELOR OF EDUCATION (HOME SCIENCE AND TECHNOLOGY) | BACHELOR OF EDUCATION (PHYSICAL EDUCATION) | BACHELOR OF EDUCATION (TECHNOLOGY EDUCATION) | BACHELOR OF SCIENCE WITH EDUCATION | BACHELOR OF EDUCATION (FRENCH, WITH IT) | BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION - SECONDARY OPTION)"
education,Education,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",11.000,education early childhood special needs primary home physical music french secondary option christian ict library sports guidance counseling,"BACHELOR OF EDUCATION (SCIENCE, WITH IT) | BACHELOR OF EDUCATION (EARLY CHILDHOOD DEVELOPMENT) | BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION, WITH IT) | BACHELOR OF EDUCATION (EARLY CHILDHOOD & PRIMARY EDUCATION) | BACHELOR OF EDUCATION (HOME SCIENCE AND TECHNOLOGY) | BACHELOR OF EDUCATION (PHYSICAL EDUCATION) | BACHELOR OF EDUCATION (TECHNOLOGY EDUCATION) | BACHELOR OF SCIENCE WITH EDUCATION | BACHELOR OF EDUCATION (FRENCH, WITH IT) | BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION - SECONDARY OPTION)"
